route_id,route_short_name
60-1-b12-1,1
60-11-b12-1,11
60-116-b12-1,116
60-118-b12-1,118
60-120-b12-1,120
60-122-b12-1,122
60-123-b12-1,123
60-13-b12-1,13
60-130-b12-1,130
60-14-b12-1,14
60-140-b12-1,140
60-142-b12-1,142
60-145-b12-1,145
60-15-b12-1,15
60-15D-b12-1,15d
60-150-b12-1,150
60-155-b12-1,155
60-151-b12-1,151
60-15A-b12-1,15a
60-15B-b12-1,15b
60-16-b12-1,16
60-16D-b12-1,16d
60-26-b12-1,26
60-27-b12-1,27
60-27A-b12-1,27a
60-27B-b12-1,27b
60-27X-b12-1,27x
60-32X-b12-1,32x
60-33-b12-1,33
60-33D-b12-1,33d
60-33E-b12-1,33e
60-33X-b12-1,33x
60-37-b12-1,37
60-38-b12-1,38
60-38A-b12-1,38a
60-38B-b12-1,38b
60-38D-b12-1,38d
60-39-b12-1,39
60-39A-b12-1,39a
60-39X-b12-1,39x
60-4-b12-1,4
60-40-b12-1,40
60-40B-b12-1,40b
60-40D-b12-1,40d
60-40E-b12-1,40e
60-41-b12-1,41
60-41B-b12-1,41b
60-41C-b12-1,41c
60-41D-b12-1,41d
60-41X-b12-1,41x
60-42-b12-1,42
60-43-b12-1,43
60-44-b12-1,44
60-44B-b12-1,44b
60-46A-b12-1,46a
60-46E-b12-1,46e
60-47-b12-1,47
60-49-b12-1,49
60-51D-b12-1,51d
60-52-b12-1,52
60-53-b12-1,53
60-54A-b12-1,54a
60-56A-b12-1,56a
60-6-b12-1,6
60-61-b12-1,61
60-65-b12-1,65
60-65B-b12-1,65b
60-68-b12-1,68
60-68A-b12-1,68a
60-69-b12-1,69
60-69X-b12-1,69x
60-7-b12-1,7
60-7A-b12-1,7a
60-70-b12-1,70
60-77A-b12-1,77a
60-77X-b12-1,77x
60-79-b12-1,79
60-79A-b12-1,79a
60-7B-b12-1,7b
60-7D-b12-1,7d
60-83-b12-1,83
60-83A-b12-1,83a
60-84-b12-1,84
60-84A-b12-1,84a
60-84X-b12-1,84x
60-9-b12-1,9
60-H1-b12-1,H1
60-H2-b12-1,H2
60-H3-b12-1,H3
60-C1-b12-1,C1
60-C2-b12-1,C2
60-C3-b12-1,C3
60-C4-b12-1,C4
60-C5-b12-1,C5
60-C6-b12-1,C6
60-P29-b12-1,P29
60-L53-b12-1,L53
60-L54-b12-1,L54
60-L58-b12-1,L58
60-L59-b12-1,L59
60-X25-b12-1,X25
60-X26-b12-1,X26
60-X27-b12-1,X27
60-X28-b12-1,X28
60-X30-b12-1,X30
60-X31-b12-1,X31
60-X32-b12-1,X32
60-N4-b12-1,N4
60-1-d12-1,1
60-11-d12-1,11
60-116-d12-1,116
60-118-d12-1,118
60-120-d12-1,120
60-122-d12-1,122
60-123-d12-1,123
60-13-d12-1,13
60-130-d12-1,130
60-14-d12-1,14
60-140-d12-1,140
60-142-d12-1,142
60-145-d12-1,145
60-15-d12-1,15
60-150-d12-1,150
60-151-d12-1,151
60-155-d12-1,155
60-15A-d12-1,15a
60-15B-d12-1,15b
60-15D-d12-1,15d
60-16-d12-1,16
60-16D-d12-1,16d
60-26-d12-1,26
60-27-d12-1,27
60-27A-d12-1,27a
60-27B-d12-1,27b
60-27X-d12-1,27x
60-32X-d12-1,32x
60-33-d12-1,33
60-33D-d12-1,33d
60-33E-d12-1,33e
60-33X-d12-1,33x
60-37-d12-1,37
60-38-d12-1,38
60-38A-d12-1,38a
60-38B-d12-1,38b
60-38D-d12-1,38d
60-39-d12-1,39
60-39A-d12-1,39a
60-39X-d12-1,39x
60-4-d12-1,4
60-40-d12-1,40
60-40B-d12-1,40b
60-40D-d12-1,40d
60-40E-d12-1,40e
60-41-d12-1,41
60-41B-d12-1,41b
60-41C-d12-1,41c
60-41D-d12-1,41d
60-41X-d12-1,41x
60-42-d12-1,42
60-43-d12-1,43
60-44-d12-1,44
60-44B-d12-1,44b
60-46A-d12-1,46a
60-46E-d12-1,46e
60-47-d12-1,47
60-49-d12-1,49
60-51D-d12-1,51d
60-52-d12-1,52
60-53-d12-1,53
60-54A-d12-1,54a
60-56A-d12-1,56a
60-6-d12-1,6
60-61-d12-1,61
60-65-d12-1,65
60-65B-d12-1,65b
60-68-d12-1,68
60-68A-d12-1,68a
60-69-d12-1,69
60-69X-d12-1,69x
60-7-d12-1,7
60-70-d12-1,70
60-77A-d12-1,77a
60-77X-d12-1,77x
60-79-d12-1,79
60-79A-d12-1,79a
60-7A-d12-1,7a
60-7B-d12-1,7b
60-7D-d12-1,7d
60-83-d12-1,83
60-83A-d12-1,83a
60-84-d12-1,84
60-84A-d12-1,84a
60-84X-d12-1,84x
60-9-d12-1,9
60-H1-d12-1,H1
60-H2-d12-1,H2
60-H3-d12-1,H3
60-C1-d12-1,C1
60-C2-d12-1,C2
60-C3-d12-1,C3
60-C4-d12-1,C4
60-C5-d12-1,C5
60-C6-d12-1,C6
60-P29-d12-1,P29
60-L53-d12-1,L53
60-L54-d12-1,L54
60-L58-d12-1,L58
60-L59-d12-1,L59
60-X25-d12-1,X25
60-X26-d12-1,X26
60-X27-d12-1,X27
60-X28-d12-1,X28
60-X30-d12-1,X30
60-X31-d12-1,X31
60-X32-d12-1,X32
60-N4-d12-1,N4
